use case,size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
Echo,1024,4g,50,UseConcMarkSweepGC,3.401228112,0,157,5,8,19,14515.61619,0,4062.75,NA,n.a.,29.073,266.194,0.01444,0.01086,0.07187,0.01444,n.a.,145.74,0,145.74,95.95,0,10091,44773.013,18430.65,n.a.,6.34,7.03,7.13
Echo,1024,4g,1,UseSerialGC,0.2535872948,0,6,1,1,1,3534.954455,0,3959.5,16.427,299.237,32.499,1091.04,0.00371,0.00291,0.1668,0.00341,0.09434,2.23,0.19,2.04,99.94,2,599,10907.759,319777.529,3171.941,0.66,0.62,0.72
Echo,1024,4g,1,UseParallelGC,0.2493784835,0,7,1,1,1,3616.107847,0,4095,20.223,5337.5,32.503,1354.028,0.00237,0.0017,0.07353,0.00209,0.07031,1.17,0.14,1.03,99.97,2,493,11127.23,647360.514,74.135,0.47,0.55,0.6
Echo,1024,4g,1,UseG1GC,0.2682885911,0,7,1,1,1,3368.821763,0,4096,NA,n.a.,31.091,2345.712,0.00551,0.0025,0.03521,0.00551,n.a.,1.45,0,1.45,99.96,0,264,10312.217,425853.219,n.a.,0.8,0.69,0.66
Echo,1024,4g,1,UseConcMarkSweepGC,0.2539153037,0,300,1,1,1,3559.556148,0,4062.75,NA,n.a.,22.413,266.026,0.01515,0.01047,0.07618,0.01515,n.a.,37.54,0,37.54,98.96,0,2478,10987.266,17559.912,n.a.,0.31,0.51,0.64
Echo,50,200m,1000,UseSerialGC,53.51815053,0,3007,163,248,412,16407.45016,1.242135754,193.375,53.907,120.533,95.733,53.333,0.00521,0.00358,0.12892,0.00515,0.10108,233.98,2.53,231.45,93.5,25,44923,39972.996,10351.313,1192.415,7.65,8.02,7.88
Echo,50,200m,1000,UseParallelGC,55.21467185,0,5102,75,102,207.99,16314.29876,0.9469458387,199.5,55.558,73.344,96.015,64.734,0.00323,0.00229,0.17956,0.00317,0.0641,119.88,2.31,117.58,96.67,36,37091,40043.46,20421.241,1144.156,8.7,8.15,7.89
Echo,50,200m,1000,UseG1GC,60.28684308,0,2757,89,161,449,14979.23824,1.434216191,200,NA,n.a.,77.905,97.561,0.00514,0.00067,0.03516,0.00514,n.a.,116.55,0,116.55,96.76,0,22689,36874.297,18992.353,n.a.,7.99,8.65,8.96
Echo,50,200m,1000,UseConcMarkSweepGC,55.43852932,0,4450,77,98,220,16121.61773,1.157458197,193.375,58.895,74.179,89.465,53.253,0.003,0.0011,0.13013,0.00299,0.13013,133.79,0.13,133.66,96.28,1,44634,39605.644,17783.258,570.029,8.78,8.26,8.18
Echo,50,200m,500,UseSerialGC,29.19389877,0,354,37,41,53,17060.08587,0,193.375,44.393,121.837,91.859,53.354,0.00419,0.00333,0.12009,0.00417,0.09809,199.85,1.28,198.58,94.45,13,47628,42362.07,12796.827,1242.114,9.01,8.61,8.59
Echo,50,200m,500,UseParallelGC,27.59261207,0,251,34,38,63,18043.96467,0,199.5,41.914,80.41,89.664,65.367,0.00283,0.00226,0.15336,0.0028,0.05782,115.59,1.21,114.38,96.79,21,40868,44542.496,23356.122,1390.769,7.91,7.74,7.69
Echo,50,200m,500,UseG1GC,31.58227665,0,327,38,45,60,15785.06784,0,200,NA,n.a.,69.777,106.762,0.00387,0.0005,0.02515,0.00387,n.a.,85.12,0,85.12,97.64,0,21988,39112.44,27578.151,n.a.,9.54,9.09,8.99
Echo,50,200m,500,UseConcMarkSweepGC,28.50921532,0,355,37,44,74,17470.02203,0,193.375,NA,n.a.,84.718,53.32,0.00258,0.00111,0.04415,0.00258,n.a.,125.41,0,125.41,96.52,0,48633,43211.02,20676.25,n.a.,8.29,8.33,8.53
